machine,timestamp,temperature,vibration,humidity,pressure,energy_consumption,machine_status,anomaly_flag,predicted_remaining_life,failure_type,downtime_risk,maintenance_required
TVG50,2025-02-01 08:11:00,86.23,51.05,34.91,4.79,4.81,Running,No,248,Normal,0.0,No
FPQ39,2025-01-27 13:31:00,57.69,48.23,49.69,2.23,3.72,Idle,No,401,Normal,,No
SJO48,2025-02-08 14:26:00,50.52,31.09,36.35,1.29,1.63,Running,No,72,Normal,0.0,No
GJH10,2025-01-07 23:20:00,96.13,53.28,79.79,2.53,0.53,Running,Yes,8,Normal,1.0,Yes
PXA26,2025-02-28 17:57:00,86.85,42.19,69.94,2.08,2.79,Running,No,130,Normal,,No
PXA26,2025-01-15 06:37:00,88.5,56.29,33.81,4.07,3.61,Running,No,31,Normal,0.0,No
QSA35,2025-02-01 19:01:00,66.22,31.43,34.95,4.08,0.8,Running,No,187,Normal,0.0,No
DCB34,2025-02-28 03:29:00,77.48,24.37,57.68,1.28,4.4,Running,No,477,Normal,,No
MEO40,2025-01-30 00:01:00,88.13,54.93,46.22,2.07,1.12,Running,No,143,Normal,,No
KGY27,2025-03-03 00:07:00,86.8,67.89,78.66,3.72,1.67,Running,No,319,Normal,,No
OJS11,2025-02-27 21:15:00,67.31,46.26,72.88,4.81,2.33,Running,No,208,Normal,0.0,No
DVO46,2025-01-07 13:49:00,69.54,55.11,51.99,,2.34,Running,No,186,Normal,,No
DVO46,2025-03-02 14:18:00,79.32,65.3,59.09,2.09,3.43,Idle,No,45,Normal,0.0,No
OWX49,2025-01-16 13:43:00,62.4,50.75,47.89,4.48,2.66,Idle,No,239,Normal,0.0,No
QYD25,2025-02-05 10:08:00,87.06,56.55,53.19,2.71,3.62,Running,No,285,Normal,,No
SIQ9,2025-01-29 18:33:00,71.27,55.38,34.14,1.91,1.55,Running,No,163,Normal,,No
GJH10,2025-01-16 18:12:00,76.39,50.47,64.2,3.17,4.95,Running,No,475,Normal,0.0,No
SAC1,2025-02-18 16:17:00,63.95,55.04,55.07,4.43,2.5,Running,No,357,Normal,0.0,No
DHW47,2025-02-28 04:33:00,66.74,68.58,30.37,3.53,4.33,Running,No,384,Normal,,No
IJA31,2025-01-06 22:53:00,64.41,44.42,38.1,3.7,0.63,Idle,No,284,Normal,,No
QYD25,2025-01-28 00:48:00,77.35,34.62,39.28,2.51,3.39,Running,No,117,Normal,0.0,No
GSR32,2025-02-23 03:12:00,68.29,71.46,72.96,3.98,4.57,Running,No,64,Normal,0.0,No
OZU38,2025-02-06 01:41:00,70.85,56.59,36.03,4.15,3.65,Running,No,276,Normal,,No
RFF14,2025-02-07 00:21:00,78.6,73.2,55.27,3.35,0.6,Running,No,434,Normal,0.0,No
MEO40,2025-02-18 02:29:00,52.0,41.17,66.38,1.47,2.87,Running,No,175,Normal,,No
WCH43,2025-02-17 01:15:00,51.25,41.43,40.89,2.42,3.59,Running,No,362,Normal,0.0,No
BBS16,2025-01-02 07:22:00,61.08,60.52,48.2,2.12,1.36,Running,No,360,Normal,0.0,No
OWX49,2025-02-24 13:04:00,67.75,72.47,57.7,2.25,2.0,Running,No,420,Normal,0.0,No
ZTG36,2025-01-17 19:27:00,74.84,62.28,32.93,2.93,3.59,Idle,No,147,Normal,,No
AOE45,2025-01-23 08:43:00,83.32,69.16,66.08,2.24,2.34,Running,No,313,Normal,0.0,No
IJA31,2025-01-19 06:16:00,70.64,45.43,69.73,2.25,1.67,Running,No,334,Normal,,No
YDH6,2025-01-22 06:52:00,81.13,75.69,63.12,2.55,2.13,Running,No,446,Normal,,No
RFF14,2025-03-11 02:01:00,66.79,41.85,59.24,4.33,4.47,Running,No,345,Normal,0.0,No
OWX49,2025-01-08 21:14:00,75.5,30.79,71.29,4.87,1.82,Running,No,22,Normal,0.0,No
IOT24,2025-01-07 16:25:00,80.46,45.42,47.75,3.1,4.4,Running,No,217,Normal,,No
SIQ9,2025-01-23 04:14:00,78.19,19.05,48.77,3.23,1.36,Running,No,299,Normal,0.0,No
JJF2,2025-01-22 13:20:00,78.43,58.13,39.62,2.99,4.23,Running,No,230,Normal,,No
YDH6,2025-01-09 12:39:00,92.07,32.54,66.88,2.95,1.8,Running,Yes,22,Normal,1.0,Yes
QSA35,2025-01-29 14:07:00,77.3,49.54,60.82,3.35,4.47,Idle,No,387,Normal,0.0,No
QJN15,2025-02-07 16:19:00,74.5,56.55,50.11,1.65,4.08,Running,No,400,Normal,,No
FKF20,2025-01-09 22:48:00,83.84,70.65,57.42,3.79,4.78,Running,No,164,Normal,0.0,No
SIQ9,2025-01-22 02:35:00,64.43,56.57,60.24,1.73,4.55,Idle,No,317,Normal,0.0,No
BBS16,2025-01-08 08:07:00,78.0,19.99,74.94,3.49,3.13,Running,No,350,Normal,0.0,No
DCB34,2025-03-08 20:55:00,84.47,73.09,78.17,3.63,4.83,Running,No,218,Normal,0.0,No
QSA35,2025-01-03 08:39:00,76.5,59.41,45.51,3.16,3.21,Running,No,475,Normal,0.0,No
GSR32,2025-02-24 15:46:00,95.83,57.7,56.21,1.62,4.73,Running,Yes,26,Normal,,Yes
IOT24,2025-01-10 03:01:00,70.43,39.79,62.6,4.2,1.15,Running,No,390,Normal,0.0,No
FPQ39,2025-01-11 19:32:00,92.13,57.18,39.92,4.66,2.42,Running,Yes,23,Normal,1.0,Yes
SAC1,2025-01-31 12:53:00,65.85,53.8,67.1,2.93,2.82,Running,No,388,Normal,0.0,No
FPO41,2025-01-06 03:33:00,69.34,63.05,37.73,3.16,4.53,Failure,No,120,Normal,0.0,Yes
PKS8,2025-01-05 06:40:00,84.53,59.19,68.19,1.07,4.08,Running,No,174,Normal,0.0,No
QJN15,2025-01-10 22:26:00,82.36,59.96,50.48,2.06,0.78,Running,No,352,Normal,0.0,No
EZO29,2025-01-31 04:57:00,82.77,61.89,37.11,4.76,3.9,Running,No,380,Normal,0.0,No
GJH10,2025-01-04 17:24:00,76.12,46.34,50.1,3.27,1.49,Running,No,263,Normal,,No
DVO46,2025-01-18 02:01:00,73.97,39.18,70.4,4.21,2.52,Running,No,27,Normal,,No
SAC1,2025-02-05 01:50:00,53.22,75.52,72.75,3.39,1.32,Running,No,145,Normal,0.0,No
DCB34,2025-02-18 13:37:00,79.89,54.16,54.82,3.16,2.82,Running,No,330,Normal,0.0,No
RFF14,2025-02-25 13:03:00,83.55,55.07,42.07,1.37,3.55,Running,No,134,Normal,0.0,No
PKS8,2025-03-10 10:57:00,75.71,75.12,30.02,1.17,0.73,Running,No,388,Normal,0.0,No
DHW47,2025-02-19 05:51:00,78.38,79.41,42.27,3.09,4.28,Running,No,341,Normal,,No
FKF20,2025-02-10 12:36:00,89.25,56.23,51.0,4.99,4.26,Running,No,83,Normal,0.0,No
QYD25,2025-02-08 05:14:00,92.14,56.6,72.35,3.72,1.55,Running,Yes,46,Normal,,Yes
GSR32,2025-01-03 06:45:00,88.42,55.33,34.97,,1.7,Running,No,258,Normal,0.0,No
BBS16,2025-01-12 03:56:00,95.76,73.83,66.81,3.74,1.14,Running,Yes,26,Normal,1.0,Yes
ZKP13,2025-02-06 18:15:00,71.18,73.57,78.58,1.35,2.26,Running,No,421,Normal,0.0,No
DVO46,2025-03-05 09:49:00,74.87,42.91,53.94,1.9,4.69,Running,No,44,Normal,,No
QSA35,2025-01-13 12:50:00,60.24,63.38,65.91,2.8,2.62,Running,No,194,Normal,,No
XEP19,2025-02-18 22:34:00,71.86,57.69,37.04,2.43,0.77,Running,No,482,Normal,0.0,No
JJF2,2025-02-28 10:16:00,77.88,64.98,38.78,4.54,3.13,Running,No,108,Normal,0.0,No
DCB34,2025-02-24 05:57:00,66.26,50.81,35.46,3.6,4.81,Idle,No,295,Normal,0.0,No
IOT24,2025-01-16 22:24:00,59.29,60.99,65.11,3.92,4.42,Running,No,152,Normal,,No
OZU38,2025-02-24 11:05:00,,47.63,42.54,4.16,0.64,Running,No,403,Normal,0.0,No
OLM37,2025-03-10 04:34:00,80.73,52.31,74.77,1.77,3.01,Running,No,85,Normal,0.0,No
ANO21,2025-02-23 15:40:00,99.86,79.02,58.3,5.0,2.94,Running,Yes,29,Normal,,Yes
QJN15,2025-01-13 07:11:00,81.97,56.54,48.55,2.37,2.57,Running,No,278,Normal,0.0,No
BBS16,2025-01-24 08:16:00,71.13,62.62,64.17,3.61,2.98,Running,No,379,Normal,,No
FPO41,2025-01-29 20:15:00,62.05,55.58,51.0,1.9,3.31,Running,No,498,Normal,0.0,No
ZTG36,2025-01-04 19:30:00,79.21,40.34,47.47,2.41,4.27,Running,No,150,Normal,0.0,No
XEP19,2025-02-13 13:23:00,50.38,40.32,64.04,2.64,1.88,Running,No,251,Normal,0.0,No
JRJ12,2025-02-02 06:06:00,76.13,44.91,30.74,2.09,4.25,Running,No,497,Normal,0.0,No
QYD25,2025-01-28 20:41:00,70.84,45.02,40.25,2.43,2.27,Running,No,237,Normal,0.0,No
FPO41,2025-01-06 00:55:00,81.5,22.32,58.67,3.02,1.7,Running,No,250,Normal,0.0,No
SAC1,2025-01-11 15:34:00,71.57,33.01,40.34,3.7,4.33,Running,No,431,Normal,,No
AOE45,2025-01-24 04:37:00,84.45,41.23,62.48,4.08,0.9,Running,No,36,Normal,0.0,No
IOT24,2025-01-21 21:14:00,69.25,48.55,61.62,3.54,3.58,Running,No,24,Normal,0.0,No
WXX28,2025-01-28 21:37:00,103.2,31.87,75.55,2.85,1.68,Running,Yes,48,Normal,1.0,Yes
BBS16,2025-02-04 17:57:00,61.45,68.23,47.45,1.13,2.45,Running,No,383,Normal,,No
KGY27,2025-02-05 09:34:00,,65.04,67.46,1.39,1.45,Running,No,399,Normal,0.0,No
KGY27,2025-02-01 14:16:00,81.55,86.01,71.7,3.48,2.47,Running,Yes,12,Normal,1.0,Yes
CJL17,2025-02-19 13:43:00,79.13,39.53,70.7,2.75,4.83,Running,No,370,Normal,,No
EZO29,2025-01-10 11:36:00,84.29,61.54,58.94,2.45,4.82,Idle,No,167,Normal,0.0,No
OWX49,2025-02-18 11:37:00,86.01,52.4,57.89,1.67,2.87,Running,No,128,Normal,0.0,No
SIQ9,2025-01-17 11:39:00,81.76,53.8,66.37,3.93,3.61,Failure,No,292,Normal,0.0,Yes
SAC1,2025-01-18 03:42:00,62.03,43.06,54.39,4.84,2.58,Running,No,17,Normal,0.0,Yes
FKF20,2025-02-09 11:14:00,56.77,40.22,76.18,1.39,3.08,Running,No,486,Normal,0.0,No
JJF2,2025-01-30 00:49:00,70.44,39.84,35.26,4.4,2.4,Running,No,353,Normal,,No
EZO29,2025-01-01 05:09:00,75.14,48.6,35.3,5.0,4.55,Running,No,309,Normal,0.0,No
OQN3,2025-01-10 06:02:00,69.07,52.67,33.22,3.5,0.75,Running,No,312,Normal,0.0,No
OZU38,2025-03-07 23:10:00,61.33,55.53,71.88,1.23,1.69,Running,No,81,Normal,0.0,No
PXA26,2025-02-17 13:52:00,76.86,31.69,42.31,2.78,4.09,Running,No,46,Normal,0.0,No
DVO46,2025-02-05 23:24:00,69.93,61.09,43.31,2.19,4.27,Running,No,189,Normal,,No
GSR32,2025-02-24 02:12:00,80.02,37.12,34.25,4.28,3.01,Idle,No,123,Normal,,No
BJB18,2025-02-24 18:34:00,72.96,63.73,70.11,4.14,1.35,Idle,No,203,Normal,0.0,No
DHW47,2025-01-02 13:14:00,78.18,48.71,37.85,1.23,3.63,Running,No,319,Normal,0.0,No
QJN15,2025-02-21 22:42:00,86.58,62.0,43.93,3.95,1.28,Running,No,257,Normal,,No
BPQ42,2025-01-27 13:48:00,82.37,46.13,69.87,1.75,2.71,Running,No,350,Normal,0.0,No
GUK33,2025-01-28 11:26:00,81.2,42.7,33.92,3.32,4.43,Running,No,152,Normal,0.0,No
BBS16,2025-01-02 23:33:00,69.21,55.63,79.94,1.42,2.6,Running,No,222,Normal,0.0,No
IJA31,2025-01-03 01:35:00,54.26,43.72,78.92,2.31,4.46,Running,No,398,Normal,0.0,No
HJG23,2025-02-27 03:18:00,81.58,28.77,67.22,4.15,1.83,Running,No,490,Normal,,No
ZTG36,2025-02-14 06:34:00,72.15,53.88,46.84,2.53,2.13,Running,No,10,Normal,0.0,Yes
SIQ9,2025-01-11 23:55:00,75.33,54.16,42.92,4.34,1.85,Running,No,91,Normal,,No
CJL17,2025-02-10 10:10:00,73.59,55.53,65.29,1.75,4.93,Running,No,365,Normal,0.0,No
BPQ42,2025-03-08 17:27:00,56.3,31.97,78.54,1.48,2.1,Running,No,320,Normal,0.0,No
CJL17,2025-01-06 20:41:00,78.78,47.42,58.44,3.34,2.98,Idle,No,166,Normal,0.0,No
RHH44,2025-03-09 03:38:00,78.84,49.01,52.29,4.5,1.67,Idle,No,333,Normal,0.0,No
EZO29,2025-01-04 12:18:00,69.78,72.71,46.46,1.74,2.39,Running,No,328,Normal,0.0,No
OWX49,2025-02-01 07:45:00,78.65,54.19,32.01,4.86,2.16,Running,No,228,Normal,0.0,No
GJR5,2025-01-16 12:58:00,68.82,58.73,78.46,2.84,2.62,Running,No,343,Normal,0.0,No
PXA26,2025-01-23 17:27:00,79.84,26.03,71.08,3.91,2.9,Running,No,220,Normal,0.0,No
BPQ42,2025-01-16 19:40:00,83.02,57.09,68.63,4.95,0.6,Idle,No,103,Normal,0.0,No
SAC1,2025-03-09 01:03:00,67.78,70.75,55.53,1.58,1.35,Running,No,97,Normal,0.0,No
XEP19,2025-01-22 01:49:00,92.1,48.66,74.98,1.86,3.95,Running,Yes,19,Normal,1.0,Yes
GUK33,2025-03-11 07:59:00,85.86,46.83,58.91,4.9,4.87,Running,No,46,Normal,0.0,No
EZO29,2025-02-16 07:15:00,89.48,36.7,65.98,2.03,0.89,Running,No,397,Normal,,No
IJA31,2025-02-14 19:09:00,80.93,65.99,50.02,2.28,2.01,Running,No,415,Normal,,No
SIQ9,2025-02-11 22:59:00,82.66,50.63,44.99,1.61,0.72,Running,No,13,Normal,,Yes
OQN3,2025-02-07 15:55:00,61.61,38.75,63.06,1.07,3.85,Running,No,156,Normal,0.0,No
WXX28,2025-02-20 04:27:00,88.97,85.71,31.49,2.77,1.1,Running,Yes,24,Normal,,Yes
PXA26,2025-01-06 10:49:00,72.77,66.45,78.69,2.96,1.95,Running,No,28,Normal,,No
AOE45,2025-02-21 18:35:00,99.41,66.54,32.78,3.97,2.95,Running,Yes,20,Normal,1.0,Yes
GSR32,2025-01-01 22:31:00,79.95,45.76,47.91,3.44,0.62,Running,No,376,Normal,0.0,No
QNJ7,2025-02-02 08:03:00,68.5,32.14,79.55,2.93,3.06,Failure,No,34,Normal,0.0,Yes
OZU38,2025-02-01 19:40:00,60.22,42.63,79.73,4.56,1.61,Running,No,224,Normal,0.0,No
AGF22,2025-02-08 04:43:00,71.54,65.16,65.97,3.25,1.95,Running,No,179,Normal,,No
GJR5,2025-01-13 17:54:00,73.5,74.95,45.61,2.35,1.05,Running,No,188,Normal,0.0,No
RFF14,2025-01-10 08:06:00,70.86,56.19,47.5,3.78,4.17,Running,No,154,Normal,0.0,No
PXA26,2025-01-19 08:08:00,71.42,48.2,64.31,2.31,2.65,Idle,No,214,Normal,0.0,No
RFF14,2025-03-08 23:50:00,91.11,61.95,32.1,3.64,4.72,Running,Yes,47,Normal,,Yes
BJB18,2025-02-10 08:27:00,63.37,64.71,66.63,1.25,2.12,Running,No,339,Normal,0.0,No
GJR5,2025-03-03 15:37:00,81.04,42.57,67.02,2.29,0.7,Running,No,451,Normal,0.0,No
ZTG36,2025-01-18 05:59:00,62.32,21.67,70.25,2.74,2.49,Running,No,424,Normal,,No
OLM37,2025-01-06 22:41:00,86.02,38.4,76.67,1.59,3.79,Running,No,382,Normal,0.0,No
RKL4,2025-01-26 17:33:00,82.97,61.56,35.11,4.44,1.16,Running,No,325,Normal,,No
GJH10,2025-01-30 19:07:00,82.95,42.48,68.95,2.22,0.74,Running,No,270,Normal,,
OLM37,2025-01-13 21:41:00,71.86,43.41,55.7,4.46,3.16,Running,No,205,Normal,,No
QSA35,2025-02-12 14:21:00,74.52,84.0,31.12,1.33,1.46,Running,Yes,34,Normal,,Yes
GSR32,2025-03-10 22:47:00,65.8,29.89,55.92,2.77,3.79,Running,No,153,Normal,0.0,No
FKF20,2025-01-17 07:09:00,72.25,61.12,54.78,4.63,4.56,Running,No,267,Normal,,No
DVO46,2025-01-13 04:59:00,75.44,72.88,36.27,3.04,4.96,Idle,No,498,Normal,0.0,No
SJO48,2025-01-30 10:41:00,77.45,56.94,34.61,1.35,4.78,Running,No,385,Normal,0.0,No
DVO46,2025-01-17 20:02:00,82.32,62.23,75.05,4.22,1.8,Running,No,373,Normal,,No
MEO40,2025-03-04 10:07:00,68.95,55.67,72.7,2.29,4.37,Running,No,33,Normal,0.0,No
QYD25,2025-01-17 07:04:00,78.62,49.19,44.72,3.24,3.66,Running,No,202,Normal,0.0,No
VIR30,2025-01-27 19:31:00,88.96,49.85,39.29,4.03,0.75,Running,No,270,Normal,0.0,No
DVO46,2025-01-31 04:49:00,92.62,69.36,76.62,1.37,2.98,Running,Yes,5,Normal,1.0,Yes
DVO46,2025-01-21 04:52:00,77.23,46.88,56.58,3.22,4.49,Running,No,20,Normal,0.0,No
BBS16,2025-01-18 16:52:00,86.97,33.27,74.05,2.99,2.52,Running,No,476,Normal,0.0,No
EZO29,2025-01-06 12:22:00,104.72,37.75,47.34,1.51,3.16,Idle,Yes,32,Normal,,Yes
ZTG36,2025-02-18 12:09:00,64.62,11.75,38.74,4.51,2.18,Running,No,293,Normal,,No
BBS16,2025-03-02 08:15:00,73.02,41.69,79.28,4.91,1.7,Running,No,129,Normal,0.0,No
FPO41,2025-01-26 12:12:00,69.05,64.07,40.0,1.6,0.98,Running,No,338,Normal,0.0,No
WXX28,2025-02-11 17:26:00,84.8,34.67,64.69,2.53,4.96,Running,No,330,Normal,0.0,No
SIQ9,2025-02-19 09:27:00,100.79,12.5,77.29,2.88,1.54,Failure,Yes,10,Normal,1.0,Yes
OQN3,2025-01-26 01:47:00,70.24,44.88,62.83,4.28,4.37,Running,No,222,Normal,0.0,No
RHH44,2025-01-04 19:54:00,81.31,55.77,77.56,1.18,2.81,Running,No,271,Normal,,No
OLM37,2025-02-19 23:01:00,72.33,41.47,71.14,3.94,2.58,Running,No,485,Normal,0.0,No
FPO41,2025-02-15 18:11:00,92.13,57.39,68.21,1.11,3.48,Idle,Yes,7,Normal,,Yes
ZTG36,2025-02-14 06:00:00,64.78,59.95,74.03,3.97,3.2,Running,No,207,Normal,,No
WXX28,2025-02-06 10:04:00,75.58,60.84,62.25,2.44,3.35,Running,No,279,Normal,0.0,No
RFF14,2025-01-26 18:25:00,72.57,28.05,70.1,1.57,1.17,Running,No,332,Normal,0.0,No
SAC1,2025-02-02 15:37:00,72.51,35.67,78.2,2.28,4.54,Idle,No,396,Normal,0.0,No
QYD25,2025-03-07 17:13:00,73.12,71.2,32.7,1.88,2.27,Running,No,361,Normal,0.0,No
BBS16,2025-02-09 09:26:00,90.31,66.41,35.38,1.37,1.74,Idle,Yes,27,Normal,1.0,Yes
ZTG36,2025-02-17 07:02:00,80.29,44.92,72.21,3.73,1.16,Idle,No,432,Normal,,No
JJF2,2025-02-23 17:48:00,83.07,60.3,77.9,4.86,3.98,Running,No,389,Normal,,No
MEO40,2025-01-15 17:15:00,57.67,60.15,40.12,4.23,3.31,Running,No,439,Normal,0.0,No
FKF20,2025-03-01 12:28:00,54.22,68.87,41.77,2.11,4.83,Running,No,487,Normal,0.0,No
ANO21,2025-01-16 06:45:00,74.78,38.27,63.39,1.02,2.82,Running,No,332,Normal,0.0,No
AGF22,2025-03-09 02:12:00,75.59,44.31,36.96,2.54,1.96,Running,No,65,Normal,,No
DCB34,2025-02-27 03:10:00,76.96,63.29,35.56,4.63,1.06,Running,No,135,Normal,0.0,No
OLM37,2025-02-11 09:24:00,62.29,39.62,77.39,3.78,4.74,Running,No,120,Normal,0.0,No
QNJ7,2025-02-04 14:40:00,77.1,54.88,69.62,2.86,0.51,Running,No,242,Normal,0.0,No
BPQ42,2025-02-11 19:35:00,91.9,50.79,61.3,2.26,1.29,Running,Yes,5,Normal,1.0,Yes
QYD25,2025-02-19 22:26:00,77.37,55.27,65.2,4.72,2.08,Running,No,405,Normal,,No
QSA35,2025-01-20 00:53:00,67.04,59.34,65.85,1.9,1.18,Running,No,265,Normal,,No
DCB34,2025-03-02 03:19:00,61.31,65.48,43.55,2.82,3.38,Running,No,497,Normal,0.0,No
RFF14,2025-02-25 08:49:00,68.58,52.85,37.03,2.67,2.99,Running,No,97,Normal,0.0,No
TVG50,2025-02-02 23:21:00,80.88,43.83,48.53,2.88,1.34,Running,No,245,Normal,,No
SAC1,2025-02-08 01:56:00,86.52,46.67,73.37,4.01,2.49,Running,No,314,Normal,,No
VIR30,2025-02-05 08:36:00,77.41,42.46,78.45,2.25,2.79,Running,No,498,Normal,,No
TVG50,2025-01-12 22:06:00,,56.77,59.5,4.8,4.54,Running,No,25,Normal,0.0,No
GJR5,2025-02-22 18:16:00,68.79,43.94,34.46,4.54,4.64,Running,No,406,Normal,0.0,No
EZO29,2025-01-26 13:44:00,56.99,39.28,70.25,4.98,4.03,Idle,No,182,Normal,0.0,No
FPQ39,2025-02-26 22:16:00,66.18,68.7,37.59,4.78,3.59,Running,No,446,Normal,0.0,No
ZKP13,2025-02-19 13:45:00,77.4,8.34,77.05,4.81,1.3,Running,No,443,Normal,0.0,No
GJH10,2025-02-10 16:34:00,66.25,36.0,49.21,2.13,2.71,Running,No,408,Normal,0.0,No
AGF22,2025-01-19 19:51:00,69.94,55.56,74.31,4.46,3.37,Running,No,463,Normal,,No
BPQ42,2025-02-04 00:48:00,67.94,49.62,76.47,4.55,2.17,Running,No,192,Normal,,No
AGF22,2025-02-18 15:07:00,70.86,37.83,58.69,4.36,3.52,Idle,No,171,Normal,0.0,No
RHH44,2025-02-23 07:31:00,65.75,56.67,61.53,4.03,3.78,Idle,No,49,Normal,0.0,No
OWX49,2025-01-29 17:52:00,65.58,36.76,42.6,2.36,0.85,Running,No,490,Normal,,No
TVG50,2025-03-01 03:17:00,94.12,70.9,49.53,4.22,2.26,Running,Yes,7,Normal,,Yes
SIQ9,2025-02-13 10:40:00,76.62,52.39,75.21,3.52,1.54,Running,No,327,Normal,0.0,No
AGF22,2025-01-18 15:04:00,77.72,41.02,74.1,2.53,2.69,Running,No,84,Normal,0.0,No
GUK33,2025-02-21 15:33:00,75.69,24.22,76.62,3.03,3.12,Failure,No,30,Normal,0.0,Yes
GSR32,2025-03-09 20:38:00,87.53,36.86,32.01,4.26,1.41,Running,No,255,Normal,0.0,No
DVO46,2025-03-10 15:01:00,90.24,30.85,37.82,3.62,0.68,Running,Yes,42,Normal,,Yes
QJN15,2025-01-19 23:58:00,63.58,52.9,79.53,3.64,1.0,Running,No,343,Normal,0.0,No
PKS8,2025-02-28 00:00:00,67.22,46.56,32.82,2.09,4.2,Running,No,428,Normal,,No
DCB34,2025-02-11 10:48:00,75.12,59.55,47.06,2.94,1.8,Running,No,378,Normal,,No
PXA26,2025-01-14 01:30:00,73.88,54.42,66.98,1.66,3.15,Running,No,329,Normal,0.0,No
HJG23,2025-01-29 03:42:00,74.5,40.61,31.42,4.19,3.48,Running,No,85,Normal,,No
GJR5,2025-03-09 06:50:00,88.0,44.39,49.9,1.39,2.37,Running,No,67,Normal,0.0,No
QNJ7,2025-02-21 21:16:00,72.13,65.38,53.58,2.77,3.17,Running,No,415,Normal,0.0,No
OQN3,2025-01-02 17:27:00,88.7,52.48,79.36,3.19,1.24,Idle,No,314,Normal,0.0,No
MEO40,2025-02-06 03:12:00,58.48,66.11,52.96,2.92,0.58,Running,No,172,Normal,,No
SAC1,2025-02-19 03:13:00,65.41,41.6,40.33,1.88,2.93,Running,No,329,Normal,,No
QJN15,2025-02-14 04:43:00,80.24,51.73,34.02,1.27,1.81,Running,No,157,Normal,0.0,No
OWX49,2025-03-08 06:54:00,71.53,65.99,70.62,4.48,1.94,Running,No,138,Normal,0.0,No
TVG50,2025-03-03 09:09:00,67.91,49.34,69.45,1.69,1.63,Idle,No,471,Normal,,No
ZKP13,2025-02-26 22:01:00,46.84,45.61,71.79,4.85,4.57,Idle,No,226,Normal,0.0,No
PKS8,2025-01-24 16:58:00,76.66,40.91,32.78,1.35,2.84,Running,No,51,Normal,,No
VIR30,2025-01-15 14:57:00,79.05,51.84,66.63,2.42,2.06,Running,No,75,Normal,0.0,No
YDH6,2025-02-10 09:34:00,80.32,64.07,40.48,1.2,4.15,Running,No,427,Normal,0.0,No
DHW47,2025-02-08 16:18:00,69.86,62.31,73.33,4.88,1.06,Idle,No,13,Normal,0.0,Yes
SAC1,2025-01-13 09:05:00,68.33,47.4,77.76,2.26,1.0,Running,No,369,Normal,0.0,No
OQN3,2025-03-09 18:05:00,89.93,74.5,72.22,4.75,4.39,Running,No,60,Normal,0.0,No
GJH10,2025-02-04 07:30:00,78.93,58.11,77.33,2.21,3.43,Running,No,355,Normal,0.0,No
CJL17,2025-02-05 10:36:00,76.56,48.61,67.27,4.42,4.58,Running,No,251,Normal,0.0,No
ZKP13,2025-01-03 01:21:00,68.18,67.1,45.92,3.58,2.53,Running,No,144,Normal,,No
IOT24,2025-01-22 05:43:00,55.48,44.49,45.72,3.84,4.59,Running,No,331,Normal,,No
OZU38,2025-03-08 11:02:00,45.64,94.16,41.32,1.75,4.03,Running,Yes,49,Normal,,Yes
HJG23,2025-01-14 12:04:00,58.42,56.16,77.28,2.78,4.19,Running,No,272,Normal,,No
QNJ7,2025-02-14 18:20:00,87.8,50.76,73.59,2.58,1.1,Running,No,249,Normal,,No
EZO29,2025-01-19 11:04:00,67.48,55.12,38.67,1.99,2.41,Running,No,12,Normal,,Yes
RHH44,2025-01-23 05:17:00,67.59,37.53,62.18,4.26,0.52,Running,No,322,Normal,,No
SIQ9,2025-02-25 09:25:00,81.99,57.3,56.97,1.87,3.54,Running,No,166,Normal,,No
EZO29,2025-01-08 00:43:00,78.4,59.75,52.46,2.04,1.89,Running,No,335,Normal,,No
PXA26,2025-01-24 10:12:00,57.26,43.27,68.89,3.08,1.69,Running,No,163,Normal,0.0,No
DHW47,2025-01-10 14:00:00,74.59,37.29,64.09,2.39,3.03,Running,No,224,Normal,,No
ANO21,2025-01-20 03:03:00,68.72,71.92,48.27,3.09,2.53,Running,No,139,Normal,0.0,No
WCH43,2025-01-29 12:04:00,65.63,38.98,49.54,1.38,1.01,Running,No,475,Normal,,No
HJG23,2025-01-18 16:33:00,86.65,36.47,31.25,4.15,4.55,Running,No,431,Normal,,No
GSR32,2025-02-24 02:14:00,76.69,54.9,56.82,4.18,2.13,Running,No,407,Normal,0.0,No
JJF2,2025-02-26 14:14:00,91.48,33.05,56.96,4.56,1.69,Idle,Yes,17,Normal,1.0,Yes
WCH43,2025-01-09 07:13:00,64.21,48.98,44.66,4.1,2.43,Running,No,376,Normal,,No
GSR32,2025-01-29 09:44:00,85.87,67.76,38.56,1.31,1.95,Idle,No,116,Normal,0.0,No
IOT24,2025-01-28 17:39:00,85.38,21.93,52.81,1.95,1.88,Running,No,487,Normal,0.0,No
HJG23,2025-02-02 09:50:00,64.81,58.88,45.01,3.95,2.26,Running,No,80,Normal,0.0,No
SJO48,2025-01-09 22:03:00,68.27,58.43,36.79,4.48,0.52,Running,No,37,Normal,,No
GJR5,2025-02-18 21:55:00,63.58,39.56,48.85,1.83,4.62,Running,No,228,Normal,,No
OLM37,2025-01-03 06:44:00,76.46,48.4,38.33,1.08,0.67,Running,No,346,Normal,0.0,No
RHH44,2025-03-06 06:52:00,80.04,47.42,76.09,2.44,1.25,Idle,No,243,Normal,,No
BPQ42,2025-03-06 12:52:00,78.41,52.46,62.51,1.84,4.69,Running,No,167,Normal,0.0,No
